0x00,NO_OPERATION,NOP
0x01,ZWAVE_CMD,Z-Wave protocol
0x02,ZENSOR_NET,Zensor Net
0x20,BASIC,Basic
0x21,CONTROLLER_REPLICATION,Controller Replication
0x22,APPLICATION_STATUS,Application Status
0x23,ZIP,Z/IP
0x24,SECURITY_PANEL_MODE,Security Panel Mode
0x25,SWITCH_BINARY,Switch Binary
0x26,SWITCH_MULTILEVEL,Switch Multilevel
0x27,SWITCH_ALL,Switch All
0x28,SWITCH_TOGGLE_BINARY,Switch Toggle Binary
0x29,SWITCH_TOGGLE_MULTILEVEL,Switch Toggle Multilevel
0x2A,CHIMNEY_FAN,Chimney Fan
0x2B,SCENE_ACTIVATION,Scene Activation
0x2C,SCENE_ACTUATOR_CONF,Scene Actuator Conf
0x2D,SCENE_CONTROLLER_CONF,Scene Controller Conf
0x2E,SECURITY_PANEL_ZONE,Security Panel Zone
0x2F,SECURITY_PANEL_ZONE_SENSOR,Security Panel Zone Sensor
0x30,SENSOR_BINARY,Sensor Binary
0x31,SENSOR_MULTILEVEL,Sensor Multilevel
0x32,METER,Meter
0x33,SWITCH_COLOR,Switch Color
0x34,NETWORK_MANAGEMENT_INCLUSION,Network Management Inclusion
0x35,METER_PULSE,Meter Pulse
0x36,BASIC_TARIFF_INFO,Basic Tariff Info
0x37,HRV_STATUS,Hrv Status
0x38,THERMOSTAT_HEATING,Thermostat Heating
0x39,HRV_CONTROL,Hrv Control
0x3A,DCP_CONFIG,Dcp Config
0x3B,DCP_MONITOR,Dcp Monitor
0x3C,METER_TBL_CONFIG,Meter Tbl Config
0x3D,METER_TBL_MONITOR,Meter Tbl Monitor
0x3E,METER_TBL_PUSH,Meter Tbl Push
0x3F,PREPAYMENT,Prepayment
0x40,THERMOSTAT_MODE,Thermostat Mode
0x41,PREPAYMENT_ENCAPSULATION,Prepayment Encapsulation
0x42,THERMOSTAT_OPERATING_STATE,Thermostat Operating State
0x43,THERMOSTAT_SETPOINT,Thermostat Setpoint
0x44,THERMOSTAT_FAN_MODE,Thermostat Fan Mode
0x45,THERMOSTAT_FAN_STATE,Thermostat Fan State
0x46,CLIMATE_CONTROL_SCHEDULE,Climate Control Schedule
0x47,THERMOSTAT_SETBACK,Thermostat Setback
0x48,RATE_TBL_CONFIG,Rate Tbl Config
0x49,RATE_TBL_MONITOR,Rate Tbl Monitor
0x4A,TARIFF_CONFIG,Tariff Config
0x4B,TARIFF_TBL_MONITOR,Tariff Tbl Monitor
0x4C,DOOR_LOCK_LOGGING,Door Lock Logging
0x4D,NETWORK_MANAGEMENT_BASIC,Network Management Basic
0x4E,SCHEDULE_ENTRY_LOCK,Schedule Entry Lock
0x4F,ZIP_6LOWPAN,Z/IP 6lowpan
0x50,BASIC_WINDOW_COVERING,Basic Window Covering
0x51,MTP_WINDOW_COVERING,Mtp Window Covering
0x52,NETWORK_MANAGEMENT_PROXY,Network Management Proxy
0x53,SCHEDULE,Schedule
0x54,NETWORK_MANAGEMENT_PRIMARY,Network Management Primary
0x55,TRANSPORT_SERVICE,Transport Service
0x56,CRC_16_ENCAP,CRC16 Encap
0x57,APPLICATION_CAPABILITY,Application Capability
0x58,ZIP_ND,Z/IP-ND
0x59,ASSOCIATION_GRP_INFO,Association Group Info
0x5A,DEVICE_RESET_LOCALLY,Device Reset Locally
0x5B,CENTRAL_SCENE,Central Scene
0x5C,IP_ASSOCIATION,Ip Association
0x5D,ANTITHEFT,Anti-theft
0x5E,ZWAVEPLUS_INFO,Z-Wave+ Info
0x5F,ZIP_GATEWAY,Z/IP Gateway
0x60,MULTI_CHANNEL,Multi Channel
0x61,ZIP_PORTAL,Z/IP Portal
0x62,DOOR_LOCK,Door Lock
0x63,USER_CODE,User Code
0x64,HUMIDITY_CONTROL_SETPOINT,Humidity Control Setpoint
0x65,DMX,DMX
0x66,BARRIER_OPERATOR,Barrier Operator
0x67,NETWORK_MANAGEMENT_INSTALLATION_MAINTENANCE,Network Management Installation and Maintenance
0x68,ZIP_NAMING,Z/IP Naming and Location
0x69,MAILBOX,Mailbox
0x6A,WINDOW_COVERING,Window Covering
0x6B,IRRIGATION,Irrigation
0x6C,SUPERVISION,Supervision
0x6D,HUMIDITY_CONTROL_MODE,Humidity Control Mode
0x6E,HUMIDITY_CONTROL_OPERATING_STATE,Humidity Control Operating State
0x6F,ENTRY_CONTROL,Entry Control
0x70,CONFIGURATION,Configuration
0x71,NOTIFICATION,Notification
0x72,MANUFACTURER_SPECIFIC,Manufacturer Specific
0x73,POWERLEVEL,Powerlevel
0x74,INCLUSION_CONTROLLER,Inclusion Controller
0x75,PROTECTION,Protection
0x76,LOCK,Lock
0x77,NODE_NAMING,Node Naming
0x7A,FIRMWARE_UPDATE_MD,Firmware Update Md
0x7B,GROUPING_NAME,Grouping Name
0x7C,REMOTE_ASSOCIATION_ACTIVATE,Remote Association Activate
0x7D,REMOTE_ASSOCIATION,Remote Association
0x80,BATTERY,Battery
0x81,CLOCK,Clock
0x82,HAIL,Hail
0x84,WAKE_UP,Wake Up
0x85,ASSOCIATION,Association
0x86,VERSION,Version
0x87,INDICATOR,Indicator
0x88,PROPRIETARY,Proprietary
0x89,LANGUAGE,Language
0x8A,TIME,Time
0x8B,TIME_PARAMETERS,Time Parameters
0x8C,GEOGRAPHIC_LOCATION,Geographic Location
0x8E,MULTI_CHANNEL_ASSOCIATION,Multi Channel Association
0x8F,MULTI_CMD,Multi Cmd
0x90,ENERGY_PRODUCTION,Energy Production
0x91,MANUFACTURER_PROPRIETARY,Manufacturer Proprietary
0x92,SCREEN_MD,Screen Md
0x93,SCREEN_ATTRIBUTES,Screen Attributes
0x94,SIMPLE_AV_CONTROL,Simple Av Control
0x95,AV_CONTENT_DIRECTORY_MD,Av Content Directory Md
0x96,AV_RENDERER_STATUS,Av Renderer Status
0x97,AV_CONTENT_SEARCH_MD,Av Content Search Md
0x98,SECURITY,Security
0x99,AV_TAGGING_MD,Av Tagging Md
0x9A,IP_CONFIGURATION,Ip Configuration
0x9B,ASSOCIATION_COMMAND_CONFIGURATION,Association Command Configuration
0x9C,SENSOR_ALARM,Sensor Alarm
0x9D,SILENCE_ALARM,Silence Alarm
0x9E,SENSOR_CONFIGURATION,Sensor Configuration
0x9F,SECURITY_2,Security 2
0xEF,MARK,Mark
0xF0,NON_INTEROPERABLE,Non Interoperable